2011010100,0
2011010101,0
2011010102,1
2011010103,1
2011010104,0
2011010105,0
2011010106,1
2011010107,0
2011010108,1
2011010109,1
2011010110,1
2011010111,1
2011010112,0
2011010113,1
2011010114,0
2011010115,0
2011010116,0
2011010117,1
2011010118,0
2011010119,1
2011010120,1
2011010121,1
2011010122,1
2011010123,1
2011010200,1
2011010201,0
2011010202,1
2011010203,0
2011010204,1
2011010205,1
2011010206,1
2011010207,0
2011010208,1
2011010209,0
2011010210,1
2011010211,0
2011010212,0
2011010213,0
2011010214,1
2011010215,1
2011010216,1
2011010217,1
2011010218,1
2011010219,1
2011010220,1
2011010221,0
2011010222,1
2011010223,0
2011010300,0
2011010301,0
2011010302,1
2011010303,0
2011010304,1
2011010305,0
2011010306,1
2011010307,0
2011010308,1
2011010309,0
2011010310,1
2011010311,0
2011010312,0
2011010313,1
2011010314,0
2011010315,0
2011010316,0
2011010317,1
2011010318,1
2011010319,0
2011010320,1
2011010321,0
2011010322,1
2011010323,1
2011010400,0
2011010401,0
2011010402,1
2011010403,0
2011010404,0
2011010405,1
2011010406,1
2011010407,1
2011010408,1
2011010409,1
2011010410,1
2011010411,0
2011010412,1
2011010413,0
2011010414,1
2011010415,0
2011010416,1
2011010417,0
2011010418,0
2011010419,0
2011010420,1
2011010421,1
2011010422,1
2011010423,1
2011010500,0
2011010501,0
2011010502,1
2011010503,1
2011010504,1
2011010505,0
2011010506,0
2011010507,0
2011010508,0
2011010509,1
2011010510,0
2011010511,0
2011010512,0
2011010513,0
2011010514,0
2011010515,0
2011010516,1
2011010517,0
2011010518,1
2011010519,1
2011010520,1
2011010521,1
2011010522,0
2011010523,0
2011010600,0
2011010601,0
2011010602,0
2011010603,0
2011010604,0
2011010605,0
2011010606,1
2011010607,0
2011010608,1
2011010609,1
2011010610,0
2011010611,0
2011010612,0
2011010613,0
2011010614,1
2011010615,1
2011010616,1
2011010617,0
2011010618,1
2011010619,1
2011010620,1
2011010621,1
2011010622,1
2011010623,0
2011010700,0
2011010701,0
2011010702,1
2011010703,1
2011010704,1
2011010705,1
2011010706,1
2011010707,1
2011010708,0
2011010709,1
2011010710,0
2011010711,1
2011010712,0
2011010713,1
2011010714,1
2011010715,1
2011010716,0
2011010717,0
2011010718,0
2011010719,1
2011010720,1
2011010721,1
2011010722,0
2011010723,1
2011010800,1
2011010801,1
2011010802,0
2011010803,0
2011010804,1
2011010805,1
2011010806,1
2011010807,0
2011010808,0
2011010809,1
2011010810,1
2011010811,1
2011010812,0
2011010813,1
2011010814,1
2011010815,0
2011010816,0
2011010817,1
2011010818,0
2011010819,1
2011010820,0
2011010821,0
2011010822,0
2011010823,0
2011010900,1
2011010901,1
2011010902,1
2011010903,1
2011010904,1
2011010905,1
2011010906,0
2011010907,0
2011010908,1
2011010909,1
2011010910,1
